Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
0,General Pueyrredón,Estacion Camet,0,0,--,--,0,0,--,--,--
0,General Pueyrredón,Estación Chapadmalal,SI,0,--,SI,SI,0,--,SI,SI
0,General Pueyrredón,Mar del Plata,0,0,SI,SI,0,0,SI,SI,0
BUENOS AIRES,0,Punta Mogotes,--,--,0,--,SI,SI,0,--,--
BUENOS AIRES,0,0,SI,--,0,0,SI,SI,0,0,--
0,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,0,--,SI,0,SI,--,--,0
0,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,0,--,--,SI,0,--,--,0
CABA,COMUNA 05,ALMAGRO,0,SI,SI,SI,0,SI,SI,SI,SI
0,Escalante,Comodoro Rivadavia,0,0,SI,SI,0,0,SI,0,SI
CHUBUT,Escalante,0,--,--,--,0,SI,SI,--,SI,--
CHUBUT,0,Km 11 - Cuarteles,--,--,0,--,--,--,0,--,0
CHUBUT,0,KM 3 - General Mosconi,--,--,0,--,SI,SI,0,0,--
CHUBUT,0,0,--,--,0,0,--,--,0,--,--
0,Escalante,KM 8 - Don Bosco,--,0,--,--,SI,0,--,--,0
0,COMUNA 05,BOEDO,0,0,SI,SI,0,0,SI,SI,SI
CHUBUT,Escalante,0,SI,SI,SI,0,SI,SI,0,SI,--
CHUBUT,0,Camarones,--,--,0,--,SI,--,0,0,SI
0,Florentino Ameghino,Garayalde,--,0,--,--,--,0,--,SI,--
CHUBUT,Futaleufú,Aldea Escolar,0,--,--,--,0,--,SI,--,0
CHUBUT,0,0,--,--,0,0,--,--,0,0,SI
CHUBUT,Futaleufú,0,SI,SI,SI,0,SI,SI,SI,0,SI
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,SI,0
BUENOS AIRES,0,La Armonía,--,--,0,--,SI,SI,0,SI,0
0,Mar Chiquita,La Baliza,0,0,--,--,0,0,--,0,--
0,Mar Chiquita,La Caleta,--,0,--,--,--,0,--,0,--
BUENOS AIRES,0,Mar Chiquita,--,--,0,--,SI,SI,0,--,--
BUENOS AIRES,0,0,SI,--,0,0,--,--,SI,--,0
BUENOS AIRES,Mar Chiquita,0,--,--,--,0,SI,SI,--,0,--
BUENOS AIRES,0,0,SI,--,0,0,SI,SI,0,0,--
BUENOS AIRES,Mar Chiquita,Santa Elena,0,--,--,--,0,--,--,--,0
0,Mar Chiquita,Vivoratá,0,0,--,SI,0,0,SI,SI,0
0,Marcos Paz,Barrio Santa Rosa,--,0,--,--,SI,0,--,0,--
BUENOS AIRES,Marcos Paz,Marcos Paz,0,SI,SI,SI,0,SI,SI,0,SI
BUENOS AIRES,0,Goldney,--,--,0,--,--,--,0,--,0
BUENOS AIRES,0,0,SI,--,SI,0,SI,SI,SI,SI,SI
0,Benito Juárez,López,0,0,--,SI,0,0,--,SI,--
0,Benito Juárez,Tedín Uriburu,--,0,--,--,SI,0,--,0,--
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,SI,SI
BUENOS AIRES,Berazategui,0,SI,SI,SI,0,SI,SI,SI,SI,0
0,Berazategui,Berazategui Oeste,0,0,--,SI,0,0,SI,--,--
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,0,SI,--,SI,0,SI,SI,0,--
0,Berazategui,Centro Agrícola El Pato,0,SI,--,--,0,SI,SI,SI,0
0,Totoral,Sarmiento,SI,0,--,--,--,0,SI,--,--
CORDOBA,Totoral,0,--,--,--,0,--,--,SI,0,--
BUENOS AIRES,0,Guillermo E Hudson,SI,SI,0,SI,SI,SI,0,--,--
0,Berazategui,Juan María Gutierrez,SI,0,SI,SI,SI,0,SI,SI,0
0,Berazategui,Pereyra,0,0,SI,SI,0,0,SI,--,0
0,Berazategui,Plátanos,--,0,--,SI,SI,0,SI,0,--
0,Berazategui,Ranelagh,0,0,SI,SI,0,SI,SI,--,SI
BUENOS AIRES,0,Villa España,SI,SI,0,SI,SI,SI,0,--,0
BUENOS AIRES,Berisso,0,--,--,--,0,SI,--,0,--,--
BUENOS AIRES,Berisso,0,--,--,--,0,SI,SI,--,SI,--
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,0,--
ENTRE RIOS,Colón,El Colorado,0,--,--,--,0,SI,--,--,SI
0,Colón,Hambis,0,0,--,--,0,0,--,SI,0
BUENOS AIRES,0,General Pinto,--,--,0,--,SI,SI,0,0,SI
BUENOS AIRES,General Pinto,0,SI,--,--,0,SI,SI,--,0,--
BUENOS AIRES,General Pinto,Gunther,0,--,--,--,0,0,--,--,0
0,General Pinto,Villa Francia (Est Coronel Granada),--,0,--,SI,SI,0,SI,--,0
BUENOS AIRES,General Pinto,0,--,--,0,0,--,--,--,0,--
BUENOS AIRES,0,Barrio Colinas Verdes,--,--,0,--,SI,SI,0,SI,--
BUENOS AIRES,0,0,--,--,0,0,SI,--,0,SI,--
BUENOS AIRES,General Pueyrredón,0,--,--,--,0,--,--,--,SI,0
0,General Pueyrredón,Barrio El Coyunco,0,0,--,SI,0,0,--,0,--
BUENOS AIRES,General Pueyrredón,Barrio La Gloria,0,--,--,--,0,SI,--,0,--
BUENOS AIRES,General Pueyrredón,0,--,--,--,0,SI,SI,--,SI,0
BUENOS AIRES,0,0,SI,--,0,0,SI,SI,0,SI,SI
BUENOS AIRES,0,0,SI,--,0,0,SI,SI,0,0,--
