Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
BUENOS AIRES,Berisso,Los Talas,,--,--,--,,,--,--,,,6098010,"-34,9190209219847",
,Berisso,Villa Arguello,0,,--,--,SI,,SI,--,,SI,6098010,"-34,9053981881099",
BUENOS AIRES,,Villa Dolores,0,--,,--,--,--,,,SI,SI,6098010,,"-57,8663036732616"
BUENOS AIRES,,,0,--,,,--,--,,--,--,--,,"-34,8829519743895","-57,8614892695719"
BUENOS AIRES,,Villa Nueva,0,--,,--,SI,--,,--,SI,,6098010,"-34,8957079362353","-57,9108816644737"
BUENOS AIRES,Berisso,,0,--,,,--,--,--,--,,--,6098010,"-34,891043310448",
,Berisso,Villa Progreso,0,,--,--,SI,,SI,,--,--,,,"-57,8468799885622"
BUENOS AIRES,Berisso,Villa San Carlos,,--,--,--,,,--,,SI,SI,6098010,,"-57,87701595642"
BUENOS AIRES,Berisso,Villa Zula,,--,--,--,,--,--,--,,--,6098010,"-34,9221646298322",
,Bolívar,Hale,,,--,--,,,--,SI,,,6105010,"-36,0010429767568",
BUENOS AIRES,Bolívar,,33,--,--,,--,--,--,,--,--,6105020,,"-61,2552591224518"
BUENOS AIRES,,,0,--,,,--,--,,,--,--,,"-36,1440485245343","-61,0116010100704"
,Bolívar,Paula,40,,--,--,--,,--,--,--,,6105040,"-36,5053183545527","-61,0243287245345"
BUENOS AIRES,Bolívar,Pirovano,,--,--,--,,--,SI,SI,,,6105050,"-36,5109170215402",
BUENOS AIRES,Bolívar,,26242,SI,SI,,--,--,,SI,SI,SI,,"-36,2295602208798","-61,1131898679983"
BUENOS AIRES,,Urdampilleta,2643,--,,SI,--,--,,,SI,SI,,,"-61,4191160192421"
BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,,,--,--,,--,--,--,--,,6105080,"-36,6025793254646","-61,3618625494725"
,Bragado,Asamblea,7,,--,--,--,,--,--,,--,6112005,"-35,2267581272748",
,COMUNA 12,VILLA URQUIZA,,,SI,SI,,,SI,,SI,SI,2000010,,"-58,4878560596649"
CORDOBA,Río Cuarto,Alpa Corral,,--,--,--,,--,--,--,SI,SI,,"-32,6904036665231","-64,721171054893"
CORDOBA,,,6869,SI,,,SI,--,,SI,,,14098050,"-32,4528669215341",
CORDOBA,Río Cuarto,,1051,SI,--,,--,SI,--,--,SI,,14098060,"-33,5032818212674","-64,6755735163666"
CORDOBA,Río Cuarto,Chaján,,--,--,--,,SI,--,SI,SI,SI,,"-33,5563361347485","-65,0052699166312"
,Río Cuarto,Chucul,,,--,--,SI,,SI,,SI,SI,14098080,,"-64,1712493406755"
CORDOBA,,,1456,--,,,SI,--,,,SI,SI,14098090,,"-64,3598591374051"
CHACO,San Lorenzo,,10224,--,--,,SI,SI,SI,,SI,SI,,,"-60,4155962080604"
,Sargento Cabral,Capitán Solari,,,--,--,,,SI,SI,,SI,22154010,"-26,8050732181615",
CHACO,Sargento Cabral,Colonia Elisa,,--,--,--,,SI,--,SI,,,22154020,"-26,9324550960675",
CHACO,Sargento Cabral,Colonias Unidas,,--,--,--,,,SI,SI,SI,SI,,"-26,7000971775462","-59,6277421824927"
,Sargento Cabral,Ingeniero Barbet,277,,--,--,--,,--,,--,--,22154040,,"-59,4825136520473"
CHACO,Sargento Cabral,,3711,--,,,--,SI,SI,SI,,,22154050,"-26,6193460346699",
CHACO,,Charadai,1519,--,,--,SI,SI,,SI,,SI,22161010,"-27,6553304709616",
,Tapenagá,Cote Lai,1323,,--,--,--,,--,,--,SI,22161020,,"-59,5765171513905"
,Tapenagá,Haumonía,,,--,--,,,--,--,--,--,,"-27,5077849029352","-60,1635277537413"
CHACO,Tapenagá,,122,--,--,,--,--,--,--,,--,22161040,"-27,5427589336639",
CHACO,,,242,--,,,--,--,,--,--,,22161050,"-27,8738009106984","-59,939569589112"
CHUBUT,Biedma,Arroyo Verde,,--,--,--,,SI,--,,--,--,,,"-65,3064500926092"
,Biedma,Puerto Madryn,,,SI,SI,,,SI,SI,SI,SI,,"-42,7550996783449","-65,0422298178163"
,Biedma,Puerto Pirámide,565,,--,--,--,,SI,SI,SI,,26007030,"-42,5736171931039","-64,2836893467339"
,Biedma,Quinta El Mirador,,,--,--,,--,SI,--,,,26007040,"-42,811590013144",
CORDOBA,,Cruz del Eje,30680,SI,,--,SI,--,,SI,SI,SI,,"-30,7218592173102","-64,8077377312137"
CORDOBA,Cruz del Eje,,1749,--,--,,SI,--,,,--,--,14028060,,"-64,8699070292303"
,Cruz del Eje,El Rincón,,,--,--,,,--,--,,--,14028070,"-30,7491607666016",
,Cruz del Eje,Guanaco Muerto,320,,--,--,--,,SI,--,,,14028080,"-30,4794131800612",
,Cruz del Eje,La Banda,560,,--,--,,,--,,--,--,14028090,,"-64,6459839334075"
CORDOBA,Cruz del Eje,La Batea,,--,--,--,,--,SI,--,--,--,,"-30,4417646532675","-65,4238386532105"
CORDOBA,,La Higuera,404,SI,,--,--,--,,SI,,,14028110,"-31,0139548417914",
CORDOBA,Cruz del Eje,,149,--,--,,--,--,--,--,--,,14028120,"-30,9332479488458","-64,7189758691612"
CORDOBA,,,937,--,,,SI,--,,--,--,--,,"-30,6895900139602","-64,8508831281017"
CORDOBA,,Los Chañaritos,311,--,,--,SI,--,,,--,--,,,"-64,9410778222467"
,Cruz del Eje,Media Naranja,,,--,--,,,SI,--,--,,14028150,"-30,6233104657952","-64,9515406139404"
,Cruz del Eje,Paso Viejo,1033,,--,--,--,,SI,SI,,SI,14028160,"-30,7686835768001",
CORDOBA,,San Marcos Sierra,943,--,,--,SI,--,,,SI,SI,14028170,,"-64,6468515131076"
CORDOBA,Cruz del Eje,,2441,SI,--,,SI,--,SI,,SI,SI,,,"-65,3813009621884"
CORDOBA,Cruz del Eje,Tuclame,,--,--,--,,--,SI,--,,--,14028190,"-30,7485284753417",
,General Pueyrredón,Chapadmalal,4112,,--,--,SI,,SI,SI,,,6357080,"-38,1757779275595",
BUENOS AIRES,General Pueyrredón,,196,--,--,,--,--,SI,,--,--,6357090,,"-57,763418077922"
BUENOS AIRES,,Estacion Camet,0,--,,,--,--,,--,SI,SI,,"-37,888665236683","-57,6000121501773"
BUENOS AIRES,,Estación Chapadmalal,1633,SI,,--,SI,SI,,--,,,6357100,"-38,036727731373",
BUENOS AIRES,,,560913,SI,,,SI,SI,,SI,,SI,6357110,"-38,0120914785136",
,General Pueyrredón,Punta Mogotes,0,,--,--,--,,--,,SI,SI,,,"-57,5859350936487"
,General Pueyrredón,Sierra de los Padres,,,--,--,,,SI,,SI,SI,6357120,,"-57,7715971022228"
BUENOS AIRES,,,0,--,--,,SI,--,--,--,,SI,6364030,"-34,6882159472973",
BUENOS AIRES,,Country Club Bosque Real - Barrio Morabo,0,--,,--,--,--,,--,SI,,6364030,"-34,555","-58,935"
CABA,COMUNA 05,,131699,SI,SI,,SI,SI,SI,,SI,SI,,,"-58,4217452253939"
CHUBUT,,,175196,SI,,SI,SI,SI,,,SI,SI,26021030,,"-67,5430559979427"
CHUBUT,Escalante,Diadema Argentina,,--,--,--,,--,SI,--,,,26021040,"-45,7906089158021","-67,6738925726169"
,Escalante,Km. 11 - Cuarteles,0,,--,--,--,,--,--,,--,26021020,"-45,7707679612545",
,Escalante,KM. 3 - General Mosconi,0,,--,--,--,,--,,SI,SI,26021020,,"-67,4917096424434"
,Escalante,KM. 5 - Presidente Ortiz,,,--,--,,,--,--,--,--,,"-45,7875522789201","-67,4695736235974"
CHUBUT,,KM. 8 - Don Bosco,0,--,,--,--,--,,--,,SI,26021020,"-45,7988982385959",
CABA,,,47306,SI,,,SI,SI,,SI,,,2000010,"-34,6299600080664",
CHUBUT,Escalante,Rada Tilly,,SI,SI,SI,,,SI,SI,SI,SI,,"-45,9368019185633","-67,5653960236573"
,Florentino Ameghino,Camarones,1296,,--,--,--,,SI,,--,SI,26028010,,"-65,7105992934951"
CHUBUT,,Garayalde,18,--,,--,--,--,,--,--,,26028020,"-44,6795783728661","-66,6097364550235"
CHUBUT,Futaleufú,,359,--,--,,--,SI,--,SI,,--,26035010,"-43,1198187614025",
,Futaleufú,Corcovado,,,--,SI,--,,--,SI,--,--,,"-43,5380021657326","-71,4659616215841"
CHUBUT,Futaleufú,Esquel,,SI,SI,SI,,SI,SI,,SI,SI,,,"-71,3185116319277"
,Mar Chiquita,General Pirán,,,--,SI,,,SI,SI,,,6518020,"-37,2778606745914",
,Mar Chiquita,La Armonía,172,,--,--,--,,SI,--,SI,,6518030,"-37,774854850113","-57,6351210747907"
BUENOS AIRES,,,0,--,,,--,--,,,SI,SI,6518020,,"-57,450820092514"
BUENOS AIRES,,La Caleta,0,--,,--,--,--,,--,--,--,,"-37,7834384978567","-57,4647863685704"
,Mar Chiquita,Mar Chiquita,487,,--,--,--,,--,SI,,,6518040,"-37,7462581727647",
BUENOS AIRES,Mar Chiquita,Mar de Cobo,,,--,SI,,--,--,SI,,--,6518050,"-37,7768000427976",
BUENOS AIRES,Mar Chiquita,Playa Dorada,,--,--,--,,--,SI,--,SI,SI,,"-37,8730952780707","-57,5218898754931"
,Mar Chiquita,Santa Clara del Mar,,,--,--,,,SI,,SI,SI,6518060,,"-57,5079487213859"
BUENOS AIRES,Mar Chiquita,,0,--,--,,--,--,--,--,--,,6518020,"-37,8649003626945","-57,5169016362882"
BUENOS AIRES,,,956,--,,,SI,--,,SI,,,6518070,"-37,6627994476991",
BUENOS AIRES,,Barrio Santa Rosa,109,--,,--,--,--,,,--,SI,,,"-58,78292863718"
BUENOS AIRES,Marcos Paz,,50460,SI,SI,,SI,SI,,SI,SI,SI,,"-34,7965436888808","-58,8778211205753"
,Mercedes,Goldney,85,,--,--,--,,--,--,,--,6532005,"-34,6029546709308",
