Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
BUENOS AIRES,Patagones,Carmen de Patagones,6602030,0,00,00,1,00,00,6,11,00,0,0,00,00,3,00,159,0,00,0,0,00,0,00,376,0,0,00,0,00,00,575,0,00,0,00,0,00,00,00,0,0,00,00,00,00,"4,159",00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Patagones,José B Casas,6602040,0,00,00,0,00,00,0,0,00,0,2,00,00,0,00,0,4,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Patagones,Juan A Pradere,6602050,0,00,00,0,00,00,0,0,00,0,2,00,00,0,00,0,2,00,0,44,00,0,00,0,0,0,00,41,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Patagones,Stroeder,6602060,0,00,00,0,00,00,0,0,00,0,11,00,00,0,00,0,6,00,157,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,452,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Patagones,Villalonga,6602070,0,00,00,0,00,00,0,0,00,0,71,00,00,0,00,3,76,00,0,98,00,0,00,9,0,201,00,0,00,00,105,0,00,0,00,548,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Capitán Castro,6609010,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Chiclana,6609080,0,00,00,0,00,00,0,6,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Francisco Madero,6609030,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Inocencio Sosa,6609035,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Juan José Paso,6609040,10,00,00,0,00,00,0,0,00,0,272,00,00,72,00,0,31,00,0,16,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,12,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Magdala,6609050,0,00,00,0,00,00,0,4,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Mones Cazón,6609060,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Nueva Plata,6609070,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,Pehuajó,6609080,164,00,00,0,00,00,20,1,00,0,0,00,00,152,00,758,0,00,624,0,00,0,00,"1,391",0,299,00,0,00,00,"1,226",0,00,0,00,0,00,00,00,0,0,00,00,00,00,4,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,San Bernardo  (Est Guanaco),6609090,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
BUENOS AIRES,Pehuajó,San Esteban,6609020,0,00,00,0,00,00,0,0,00,0,0,00,00,0,00,0,3,00,0,0,00,0,00,0,0,0,00,0,00,00,0,0,00,0,00,0,00,00,00,0,0,00,00,00,00,0,00,00,00,00,00,00,00,0,00,00,00,00,0,00,00,00,0,00,00,00,00,00,0,0,00,00,00,00,00,00,00,00,0
