AÃ±o,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
2018,1,TucumÃ¡n,9,00,00
2017,4,BuenosAires,13,00,00
2017,4,CapitalFederal,15,00,00
2017,4,Catamarca,8,00,00
2017,4,Chaco,12,00,00
2017,4,Chubut,5,00,00
2017,4,CÃ³rdoba,12,00,00
2017,4,Corrientes,10,00,00
2017,4,EntreRÃ­os,9,00,00
2017,4,Formosa,10,00,00
2017,4,Jujuy,7,00,00
2017,4,LaPampa,4,00,00
2017,4,LaRioja,6,00,00
2017,4,Mendoza,6,00,00
2017,4,Misiones,11,00,00
2017,4,NeuquÃ©n,11,00,00
2017,4,RÃ­oNegro,8,00,00
2017,4,Salta,8,00,00
2017,4,SanJuan,6,00,00
2017,4,SanLuis,6,00,00
2017,4,SantaCruz,5,00,00
2017,4,SantaFe,10,00,00
2017,4,SantiagoDelEstero,6,00,00
2017,4,TierraDelFuego,5,00,00
2017,4,TucumÃ¡n,9,00,00
2017,3,BuenosAires,8,00,00
2017,3,CapitalFederal,11,00,00
2017,3,Catamarca,5,00,00
2017,3,Chaco,8,00,00
2017,3,Chubut,3,00,00
2017,3,CÃ³rdoba,9,00,00
2017,3,Corrientes,7,00,00
2017,3,EntreRÃ­os,7,00,00
2017,3,Formosa,7,00,00
2017,3,Jujuy,5,00,00
2017,3,LaPampa,3,00,00
2017,3,LaRioja,5,00,00
2017,3,Mendoza,4,00,00
2017,3,Misiones,8,00,00
2017,3,NeuquÃ©n,8,00,00
2017,3,RÃ­oNegro,5,00,00
2017,3,Salta,6,00,00
2017,3,SanJuan,3,00,00
2017,3,SanLuis,4,00,00
2017,3,SantaCruz,4,00,00
2017,3,SantaFe,8,00,00
2017,3,SantiagoDelEstero,5,00,00
2017,3,TierraDelFuego,3,00,00
2017,3,TucumÃ¡n,6,00,00
2017,2,BuenosAires,7,00,00
2017,2,CapitalFederal,9,00,00
2017,2,Catamarca,5,00,00
2017,2,Chaco,8,00,00
2017,2,Chubut,3,00,00
2017,2,CÃ³rdoba,7,00,00
2017,2,Corrientes,7,00,00
2017,2,EntreRÃ­os,6,00,00
2017,2,Formosa,6,00,00
2017,2,Jujuy,5,00,00
2017,2,LaPampa,3,00,00
2017,2,LaRioja,6,00,00
2017,2,Mendoza,4,00,00
2017,2,Misiones,8,00,00
2017,2,NeuquÃ©n,7,00,00
2017,2,RÃ­oNegro,5,00,00
2017,2,Salta,6,00,00
2017,2,SanJuan,3,00,00
2017,2,SanLuis,4,00,00
2017,2,SantaCruz,4,00,00
2017,2,SantaFe,7,00,00
2017,2,SantiagoDelEstero,5,00,00
2017,2,TierraDelFuego,3,00,00
2017,2,TucumÃ¡n,6,00,00
2017,1,BuenosAires,7,00,00
2017,1,CapitalFederal,8,00,00
2017,1,Catamarca,5,00,00
2017,1,Chaco,7,00,00
2017,1,Chubut,3,00,00
2017,1,CÃ³rdoba,7,00,00
2017,1,Corrientes,6,00,00
2017,1,EntreRÃ­os,6,00,00
2017,1,Formosa,6,00,00
2017,1,Jujuy,4,00,00
2017,1,LaPampa,3,00,00
2017,1,LaRioja,5,00,00
2017,1,Mendoza,4,00,00
2017,1,Misiones,7,00,00
2017,1,NeuquÃ©n,6,00,00
2017,1,RÃ­oNegro,4,00,00
2017,1,Salta,5,00,00
2017,1,SanJuan,3,00,00
2017,1,SanLuis,4,00,00
2017,1,SantaCruz,4,00,00
2017,1,SantaFe,6,00,00
2017,1,SantiagoDelEstero,5,00,00
2017,1,TierraDelFuego,3,00,00
2017,1,TucumÃ¡n,6,00,00
2016,4,BuenosAires,6,00,00
2016,4,CapitalFederal,8,00,00
2016,4,Catamarca,5,00,00
2016,4,Chaco,7,00,00
2016,4,Chubut,3,00,00
2016,4,CÃ³rdoba,6,00,00
2016,4,Corrientes,6,00,00
2016,4,EntreRÃ­os,6,00,00
2016,4,Formosa,6,00,00
2016,4,Jujuy,4,00,00
2016,4,LaPampa,3,00,00
2016,4,LaRioja,5,00,00
2016,4,Mendoza,4,00,00
2016,4,Misiones,7,00,00
2016,4,NeuquÃ©n,6,00,00
2016,4,RÃ­oNegro,4,00,00
2016,4,Salta,5,00,00
2016,4,SanJuan,3,00,00
2016,4,SanLuis,4,00,00
2016,4,SantaCruz,4,00,00
2016,4,SantaFe,6,00,00
2016,4,SantiagoDelEstero,5,00,00
