,Año,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
228,2020,2,Mendoza,9,0,0
229,2020,2,Misiones,23,0,0
230,2020,2,Neuquén,29,0,0
231,2020,2,Río Negro,20,0,0
232,2020,2,Salta,23,0,0
233,2020,2,San Juan,6,0,0
234,2020,2,San Luis,21,0,0
235,2020,2,Santa Cruz,7,0,0
236,2020,2,Santa Fe,24,0,0
237,2020,2,Santiago Del Estero,10,0,0
238,2020,2,Tierra Del Fuego,8,0,0
239,2020,2,Tucumán,33,0,0
240,2020,1,Buenos Aires,45,0,0
241,2020,1,Capital Federal,59,0,0
242,2020,1,Catamarca,29,0,0
243,2020,1,Chaco,26,0,0
244,2020,1,Chubut,7,0,0
245,2020,1,Córdoba,29,0,0
246,2020,1,Corrientes,21,0,0
247,2020,1,Entre Ríos,19,0,0
248,2020,1,Formosa,16,0,0
249,2020,1,Jujuy,14,0,0
250,2020,1,La Pampa,7,0,0
251,2020,1,La Rioja,8,0,0
252,2020,1,Mendoza,8,0,0
253,2020,1,Misiones,22,0,0
254,2020,1,Neuquén,28,0,0
255,2020,1,Río Negro,19,0,0
256,2020,1,Salta,21,0,0
257,2020,1,San Juan,6,0,0
258,2020,1,San Luis,21,0,0
259,2020,1,Santa Cruz,6,0,0
260,2020,1,Santa Fe,22,0,0
261,2020,1,Santiago Del Estero,10,0,0
262,2020,1,Tierra Del Fuego,7,0,0
263,2020,1,Tucumán,32,0,0
264,2019,4,Buenos Aires,31,0,0
265,2019,4,Capital Federal,44,0,0
266,2019,4,Catamarca,25,0,0
267,2019,4,Chaco,23,0,0
268,2019,4,Chubut,7,0,0
269,2019,4,Córdoba,26,0,0
270,2019,4,Corrientes,19,0,0
271,2019,4,Entre Ríos,17,0,0
272,2019,4,Formosa,15,0,0
273,2019,4,Jujuy,13,0,0
274,2019,4,La Pampa,7,0,0
275,2019,4,La Rioja,8,0,0
276,2019,4,Mendoza,8,0,0
277,2019,4,Misiones,20,0,0
278,2019,4,Neuquén,26,0,0
279,2019,4,Río Negro,17,0,0
280,2019,4,Salta,19,0,0
281,2019,4,San Juan,6,0,0
282,2019,4,San Luis,21,0,0
283,2019,4,Santa Cruz,5,0,0
284,2019,4,Santa Fe,21,0,0
285,2019,4,Santiago Del Estero,10,0,0
286,2019,4,Tierra Del Fuego,7,0,0
287,2019,4,Tucumán,30,0,0
288,2019,3,Buenos Aires,26,0,0
289,2019,3,Capital Federal,39,0,0
290,2019,3,Catamarca,9,0,0
291,2019,3,Chaco,20,0,0
292,2019,3,Chubut,7,0,0
293,2019,3,Córdoba,23,0,0
294,2019,3,Corrientes,17,0,0
295,2019,3,Entre Ríos,15,0,0
296,2019,3,Formosa,13,0,0
297,2019,3,Jujuy,12,0,0
298,2019,3,La Pampa,6,0,0
299,2019,3,La Rioja,8,0,0
300,2019,3,Mendoza,6,0,0
301,2019,3,Misiones,18,0,0
302,2019,3,Neuquén,24,0,0
303,2019,3,Río Negro,16,0,0
304,2019,3,Salta,15,0,0
305,2019,3,San Juan,6,0,0
306,2019,3,San Luis,20,0,0
307,2019,3,Santa Cruz,5,0,0
308,2019,3,Santa Fe,18,0,0
309,2019,3,Santiago Del Estero,9,0,0
310,2019,3,Tierra Del Fuego,7,0,0
311,2019,3,Tucumán,19,0,0
312,2019,2,Buenos Aires,22,0,0
313,2019,2,Capital Federal,30,0,0
314,2019,2,Catamarca,9,0,0
315,2019,2,Chaco,16,0,0
316,2019,2,Chubut,6,0,0
317,2019,2,Córdoba,18,0,0
318,2019,2,Corrientes,14,0,0
319,2019,2,Entre Ríos,12,0,0
320,2019,2,Formosa,11,0,0
321,2019,2,Jujuy,12,0,0
322,2019,2,La Pampa,5,0,0
323,2019,2,La Rioja,8,0,0
324,2019,2,Mendoza,6,0,0
325,2019,2,Misiones,14,0,0
326,2019,2,Neuquén,17,0,0
327,2019,2,Río Negro,12,0,0
328,2019,2,Salta,13,0,0
329,2019,2,San Juan,6,0,0
330,2019,2,San Luis,20,0,0
331,2019,2,Santa Cruz,6,0,0
332,2019,2,Santa Fe,15,0,0
333,2019,2,Santiago Del Estero,7,0,0
334,2019,2,Tierra Del Fuego,6,0,0
335,2019,2,Tucumán,19,0,0
336,2019,1,Buenos Aires,20,0,0
337,2019,1,Capital Federal,25,0,0
338,2019,1,Catamarca,8,0,0
339,2019,1,Chaco,13,0,0
340,2019,1,Chubut,6,0,0
341,2019,1,Córdoba,16,0,0
342,2019,1,Corrientes,12,0,0
343,2019,1,Entre Ríos,11,0,0
344,2019,1,Formosa,10,0,0
345,2019,1,Jujuy,9,0,0
346,2019,1,La Pampa,5,0,0
347,2019,1,La Rioja,7,0,0
348,2019,1,Mendoza,6,0,0
349,2019,1,Misiones,13,0,0
350,2019,1,Neuquén,16,0,0
351,2019,1,Río Negro,10,0,0
352,2019,1,Salta,10,0,0
353,2019,1,San Juan,6,0,0
354,2019,1,San Luis,9,0,0
355,2019,1,Santa Cruz,6,0,0
356,2019,1,Santa Fe,13,0,0
357,2019,1,Santiago Del Estero,6,0,0
358,2019,1,Tierra Del Fuego,6,0,0
359,2019,1,Tucumán,17,0,0
360,2018,4,Buenos Aires,17,0,0
