Codigo;Persona
649050;9455
649051;9259
651501;19333
651502;17334
651503;15520
651504;12504
651505;13895
651506;15345
651507;18083
651508;13320
651509;15951
651510;15289
651511;13313
651512;18597
651513;16744
651514;13478
651515;17652
651516;8949
651517;9103
651518;17564
651519;18983
651520;18246
651521;13172
653901;16510
653902;13134
653903;10741
653904;14538
653905;9666
653906;9985
653907;11125
653908;19612
653909;14731
653910;26082
653911;21221
653912;19215
653913;10591
653914;16505
653915;8049
653916;8693
653917;14834
653918;12390
653919;9679
653920;16229
653921;7714
653922;12101
653923;18524
653924;17625
653925;15230
653926;18684
653927;17450
653928;16540
653929;18148
653930;20119
653931;23773
653932;20043
653933;16850
653934;22163
656001;21062
656002;27449
656003;23272
656004;23901
656005;14113
656006;27905
656007;20924
656008;12865
656009;4680
656010;16094
656011;20472
656012;17385
656013;15889
656014;20028
656015;22948
656016;20890
656017;19083
656018;16959
656019;18207
656020;20044
656021;14672
656022;11155
656023;14500
656024;12739
656025;15269
656801;2644
656802;10980
656803;19038
656804;8940
656805;8541
656806;9158
656807;6647
656808;8204
656809;9144
656810;13300
656811;8999
656812;8662
656813;9630
656814;7929
656815;9426
656816;11991
656817;11661
656818;9386
656819;10997
656820;11689
656821;4743
656822;9608
656823;8976
656824;8999
656825;13828
656826;10636
656827;10400
656828;12709
656829;15968
656830;14190
656831;14086
665801;8823
665802;12344
665803;12459
665804;14256
665805;11916
665806;9710
665807;11062
665808;6840
665809;7158
665810;12775
665811;9114
665812;12202
665813;7218
665814;7468
665815;10276
665816;7819
665817;10449
665818;7554
665819;7203
665820;14574
665821;25832
665822;10152
665823;11922
665824;10490
665825;11832
665826;10205
665827;17318
665828;11044
665829;14225
665830;14510
665831;15872
665832;13719
665833;18378
665834;14319
665835;12103
665836;18573
665837;19542
665838;22486
665839;13339
665840;22419
665841;23284
665842;15066
665843;15769
665844;19324
674901;3678
674902;11390
674903;8343
674904;3382
674905;7009
674906;3641
674907;9749
674908;9474
674909;14556
674910;14083
674911;14114
674912;13661
674913;24192
674914;23012
674915;2956
675601;14509
675602;8210
675603;4828
675604;6784
675605;7745
675606;6902
675607;7167
675608;8897
675609;15342
675610;7687
675611;8219
675612;9534
675613;15361
675614;19297
675615;12533
675616;10912
675617;9507
675618;8409
675619;10856
675620;8644
675621;11675
675622;14983
675623;12361
675624;10532
675625;17019
675626;9905
675627;15060
676001;18915
676002;12186
676003;12143
676004;847
676005;16828
676006;11425
676007;13682
676008;12928
676009;15771
676010;12801
676011;20634
676012;17878
676013;18642
676014;19999
676015;16892
676016;15776
676017;19350
676018;19493
680501;5650
680502;5533
680503;11804
680504;19575
680505;15039
680506;11262
680507;5721
680508;15836
680509;8957
680510;18785
680511;16362
680512;13350
680513;23365
680514;20556
680515;15180
680516;15963
680517;15252
680518;14660
680519;13468
680520;17489
680521;18640
680522;15843
680523;25063
680524;13110
680525;14450
680526;5468
684001;17597
684002;12541
684003;15386
684004;18909
684005;12375
684006;14581
684007;10972
684008;10015
684009;7308
684010;9033
684011;10240
684012;8719
684013;11090
684014;8321
684015;10849
684016;10068
684017;10262
684018;10858
684019;10487
684020;10271
684021;9244
684022;8550
684023;8185
684024;8008
684025;7584
684026;12071
684027;10945
684028;10469
684029;10705
684030;8612
684031;8624
684032;7192
686101;6946
686102;7565
686103;6448
686104;6035
686105;5138
686106;5581
686107;5960
686108;6838
686109;8876
686110;9392
686111;7877
686112;6679
686113;6155
686114;7598
686115;6559
686116;8928
686117;7615
686118;8862
686119;11674
686120;6523
686121;8206
686122;10006
686123;9595
686124;11168
686125;8541
686126;9162
686127;8259
686128;7157
686129;11123
686130;12051
686131;12113
686132;6102
686133;8688
600701;2033
600702;186
600703;225
600704;3314
600705;299
600706;777
600707;749
600708;9031
600709;78
600710;215
600711;165
601401;66
601402;36
601403;312
601404;100
601405;1859
601406;45
601407;38
601408;76
601409;40
601410;9246
601411;53
601412;89
601413;64
601414;16
601415;7
602101;31
602102;1099
602103;35
602104;47
602105;455
602106;8391
602107;29
602108;283
602109;119
602110;165
604201;7614
604202;153
604203;173
604204;122
604205;297
604206;164
604207;170
604208;114
604209;247
604210;154
604211;1498
604212;147
604213;94
604214;167
604215;108
604216;80
604217;111
604218;61
604219;8863
604901;10790
604902;11031
604903;203
604904;2815
604905;6474
604906;14422
604907;107
604908;53
604909;91
604910;3122
604911;182
604912;106
604913;89
604914;97
604915;91
604916;97
604917;101
604918;255
604919;160
604920;3389
604921;302
604922;244
604923;161
604924;56
604925;10842
605601;10083
605602;10643
605603;7167
605604;8762
605605;8495
605606;9119
605607;10748
605608;17124
605609;6797
605610;5414
605611;6235
605612;4988
605613;5773
605614;11114
605615;15861
605616;8984
605617;7114
605618;8637
605619;16361
605620;7218
605621;8677
605622;15634
605623;14940
605624;21150
605625;18175
605626;19350
605627;5599
605628;51
605629;43
605630;2258
605631;142
605632;8916
606301;15435
606302;7401
606303;851
606304;376
606305;73
606306;482
606307;9145
606308;599
606309;608
606310;557
606311;751
606312;112
606313;7433
607001;7586
607002;17567
607003;4370
